Nome;Pergunta;Resposta
Tremfya;Em que circunstâncias eu não deveria utilizar Tremfya?;Este medicamento não deve ser usado em pessoas com alergia ao guselcumabe ou a qualquer componente da fórmula do medicamento ou que tenham uma infecção ativa, como por exemplo, tuberculose ativa.
Lacril;Qual é a posologia recomendada para Lacril?;A dose recomendada de Lacril é de 1 ou 2 gotas em um ou ambos os olhos. Consoante os sintomas exibidos ou consoante sinta necessidade, pode repetir a aplicação de Lacril tantas vezes quantas forem necessárias ou de acordo com as orientações do médico.
Carbonato de Lítio;Quais são os possíveis efeitos colaterais associados a Carbonato de Lítio?;A medicação com lítio apresenta ausência de efeitos tóxicos sob “condições de controle”. Se por eventualidade, quaisquer dos sintomas abaixo ocorrerem durante a “litioterapia”, deverá ser interrompida a medicação e o médico deverá ser informado imediatamente. Diarréia persistente, vômitos ou náuseas severas e persistentes, visão prejudicada, fraqueza generalizada, dificuldade para andar, pulso irregular, tremores intensos, cãibras, grande desconforto, tontura acentuada, sudorese de pés e pernas.Informe ao seu médico o aparecimento de qualquer reação desagradável ou efeitos colaterais, tais como: aumento exagerado do volume urinário, ganho anormal de peso, insônia, cansaço, diminuição da velocidade de pensamento, sensação de frio, alterações menstruais, dor de cabeça e dores musculares.
Emistin;Qual é a posologia recomendada para Emistin?;Creme:
Aloxidil;Para que serve Aloxidil?;O Aloxidil é indicado no tratamento da perda de cabelo no homem.
Gabaneurin;Quais são os potenciais efeitos indesejados de Gabaneurin?;Alguns dos efeitos colaterais de Gabaneurin podem incluir sensação de mal estar, fadiga, cansaço, febre, dor de cabeça, dor nas costas, dor na barriga, inchaço na face, infecção por vírus, dor, sintomas de gripe e resfriado, lesões ou inchaço no corpo.
Emsgrip;Quais são os potenciais efeitos indesejados de Emsgrip?;Pessoas alérgicas ao medicamento podem apresentar erupções cutâneas, urticária, eritema pigmentar fixo, angioedema, choque anafilático e alterações no exame de sangue.
Orviax;Como funciona Orviax?;Orviax é um remédio natural feito à base de extratos e concentrados de ervas afrodisíacas da China, Europa e América do Sul, que ajuda a aumentar a ereção do pênis, tornando-a mais forte e fazendo com que dure mais tempo.
Secdazol;Qual é a finalidade do medicamento Secdazol?;O Secdazol é um medicamento destinado ao tratamento da giardíase, amebíase intestinal, amebíase hepática e tricomoníase.
Duomo;Qual é a finalidade do medicamento Duomo?;O Duomo é um medicamento que tem doxazosina na sua composição, indicada para tratar a hiperplasia benigna da próstata e a hipertensão.
Fibrase;Quais são os processos biológicos desencadeados por Fibrase?;A pomada Fibrase contém fibrinolisina, desoxirribonuclease e cloranfenicol.
Mylicon;Quando não devo usar Mylicon?;Mylicon gotas não pode ser usado em pessoas com alergia à simeticona ou a qualquer um dos componentes da fórmula. Nestes casos, a toma deverá ser imediatamente interrompida.
Esmya;O que Esmya pretende tratar?;Esmya é indicado para tratar os sintomas causados por miomas uterinos, como sangramentos menstruais,  desconforto e dor na barriga, em mulheres. Além disso, este medicamento também pode ser usado na preparação para cirurgia para retirada do mioma.
Contractubex;Como Contractubex atua no organismo para produzir seus efeitos?;O Cepalin atua como antibacteriano e antiinflamatório, inibindo os mediadores da inflamação e possui também um efeito antialérgico. Este ativo inibe o crescimento de fibroblastos de diversas origens, em particular, os fibroblastos queloidais, além de ter efeito inibidor da mitose por diminuir a formação de constituintes da matrix extracelular pelos fibroblastos. Essas propriedades estimulam a reparação tecidual além de conter a formação de cicatrizes não fisiológica.
Psorex creme;Em que situações médicas é recomendado o uso de Psorex creme?;Este medicamento é indicado no tratamento de infecções na pele, tais como eczema, psoríase (excluindo a forma em placa disseminada), eczemas recalcitrantes, líquen plano, lúpus  eritematoso discóide e outras infecções da pele que não respondem de forma satisfatória aos medicamentos esteróides menos potentes.
Bisalax;Como funciona Bisalax?;Bisalax tem na sua composição Bisacodil, um composto laxante que alivia a prisão de ventre pois ajuda a limpar o intestino.
Clarilerg;Para que serve Clarilerg?;Clarilerg é indicado para o alívio dos sintomas associados com a rinite alérgica, como: coceira nasal, nariz escorrendo (coriza), espirros, ardor e coceira nos olhos.
Omepramed;Em que situações médicas é recomendado o uso de Omepramed?;Omepramed está indicado para tratamentos de úlceras gástrica e duodenal, tratamento de esofagite de refluxo e tratamento da síndrome de Zollinger-Ellison.
Zytiga 250 mg;Existem situações em que o uso de Zytiga 250 mg não é recomendado?;Este medicamento é contraindicado em mulheres grávidas ou que potencialmente possam estar grávidas
Limbitrol cápsulas;Quais são os possíveis efeitos colaterais associados a Limbitrol cápsulas?;Alguns dos efeitos colaterais de Limbitrol podem incluir boca seca, prisão de ventre, taquicardia ou problemas de visão.
Renapril;Quais os males que Renapril pode me causar?;Tontura e cefaléia foram os efeitos colaterais mais comumente relatados. Fadiga e astenia foram reportados em 2 a 3% dos pacientes, outros efeitos colaterais ocorreram em menos de 2% dos casos e incluíram hipotensão ortostática, síncope, náuseas, diarréia, cãibras musculares, erupção cutânea e tosse. Menos freqüentemente houveram relatos de disfunção renal, insuficiência e oligúria. Hipersensibilidade e edemas angioneuróticos de face, língua, lábios, glote e extremidades foram relatados raramente. Também infarto do miocárdio ou acidente vascular cerebral, dor toráxica, distúrbios do ritmo cardíaco, palpitações, angina pectoris, hepatite (hepatocelular ou colestática), icterícia, obstipação, pancreatite, estomatite, dor abdominal, dispepsia, anorexia, depressão, sonolência, confusão mental, insônia, parestesia e vertigem. Outros: broncoespasmo/asma, dispnéia, rinorréia, eritema multiforme, dermatite esfoliativa, síndrome de Stevens-Jonhson, diaforese, prurido, urticária, alopécia, impotência, alteração do paladar, glossite, rubor facial e zumbido.Interferências em Exames Laboratoriais: Pode ocorrer elevação nas taxas de uréia e creatinina sérica, enzimas hepáticas e/ou bilirrubinas. Redução das taxas de hemoglobina e hematócrito foram relatados.
Dupixent;Existem situações em que o uso de Dupixent não é recomendado?;Este medicamento não deve ser usado em pessoas com hipersensibilidade a qualquer um dos componentes da fórmula.
Lioresal 10 mg;De que maneira Lioresal 10 mg deve ser administrado?;O tratamento com Lioresal deve ser iniciado com uma dose de 15 mg por dia, de preferência dividida em 2 a 4 doses. Esta dose deve ser aumentada com cautela, 15 mg por dia, em intervalos de 3 dias, até que a dose diária necessária seja atingida.
Relestat;Em que circunstâncias eu não deveria utilizar Relestat?;Relestat não pode ser usado em pessoas com alergia a qualquer dos componentes da fórmula.
Dermotivin Control;Existem situações em que o uso de Dermotivin Control não é recomendado?;Estes produtos não devem ser usados em pessoas com alergia a qualquer um dos componentes da fórmula.
Lucentis;Para que serve Lucentis?;Lucentis é administrado pelo seu oftalmologista (médico dos olhos) como uma injeção no olho sob anestésico local. Ele é usado para tratar a lesão da retina causada pelo vazamento e crescimento anormal dos vasos sanguíneos em doenças como a forma úmida da DMRI.
Liberaflux;Como usar Liberaflux?;Lactentes e crianças até 7 anos de idade: a dose recomendada é de 2,5 ml, tomados 3 vezes por dia de 8 em 8 horas.	Crianças com mais de 7 anos de idade: a dose recomendada é de 5 ml, tomados 3 vezes por dia de 8 em 8 horas.	Adolescentes com mais de 12 anos e adultos: a dose recomendada é de 7,5 ml, tomados 3 vezes ao dia de 8 em 8 horas.
Imovane;Quando não devo usar Imovane?;"Hipersensibilidade conhecida ao zopiclone; insuficiência respiratória severa, crianças menores de 15 anos."
Notuss TSS;Qual é o propósito principal de Notuss TSS na área da saúde?;Notuss TSS é um medicamento indicado para o tratamento da tosse seca e irritante sem secreção.
Depakote;Quais são as instruções para o uso correto de Depakote?;A posologia depende da doença a tratar:
Signifor;Quais são as orientações específicas para utilizar Signifor?;Este medicamento deve ser administrado na pele e inialmente a dosagem é 0,6 a 0,9 mg, duas vezes ao dia.
Claritin;Como usar Claritin?;Claritin-d XAROPEAdultos e crianças de 6 a 12 anos (peso corporal maior que 30 kg): 5 ml, a cada 12 horas.Crianças de 6 a 12 anos de idade (peso corporal menor que 30 kg): 2,5 ml, a cada 12 horas.Claritin-d DRÁGEASAdultos e crianças acima de 12 anos: 1 drágea duas vezes por dia.A dose não deve exceder o dobro, a cada 24 horas.
Iumi;Quais são os riscos para a saúde relacionados ao uso de Iumi?;Alguns dos efeitos colaterais mais frequentes de Iumi podem incluir náusea, dor abdominal, aumento de peso, dor de cabeça, períodos depressivos, alterações de humor, dor e sensibilidade aumentada nas mamas.
Wellbutrin XL 150 mg;Qual é a finalidade do medicamento Wellbutrin XL 150 mg?;Wellbutrin XL é um medicamento indicado para tratar a depressão.
Exposis;Qual é o mecanismo de ação de Exposis?;Exposis tem icaridina em sua fórmula, uma substância que impede que os mosquitos piquem a pele, evitando a transmissão de doenças.
Tenag;Para que serve Tenag?;Irregularidades do ciclo menstrual como: metrorragia, oligomenorréia, polimenorréia e amenorréia secundária.Síndrome pré-menstrual principalmente sintomas como mastalgia e retenção líquida.Outras: hiperprolactinemia, infertilidade devido a níveis diminuídos de progesterona ou hiperprolactimenia.
Octalbin albumina humana;Qual é a posologia recomendada para Octalbin albumina humana?;Uma vez que o Octalbin só pode ser usado no hospital, a dose e o ritmo a usar devem ser ajustados pelo médico, de acordo com cada caso, dependendo da gravidade, situação e peso da pessoa.
Reconter;Quais são os princípios do funcionamento de Reconter?;Reconter contém na sua fórmula oxalato de escitalopram que atua a nível cerebral aumentado os nível de hormônios importantes na regulação do humor, diminuindo os sintomas de ansiedade ou depressão.
Quadrilon;Quais são as instruções para o uso correto de Quadrilon?;Aplicar pequena quantidade de Quadrilon Creme suavemente nas áreas afetadas 2 a 3 vezes ao dia. Em caso de Tinea pedis pode ser necessário um tratamento por 2 a 4 semanas. Observação: outras posologias e a duração do tratamento devem ser estabelecidas pelo médico, de acordo com a gravidade da afecção e a resposta do paciente.
Serenata;Quais os males que Serenata pode me causar?;Os efeitos colaterais são insônia, sonolência, tontura, dor de cabeça, diarreia, boca seca, náusea, problemas a ejacular ou fadiga. Pode surgir também perda de apetite, diminuição da libido, ansiedade, espasmos musculares, aumento do batimento cardíaco, vômitos, prisão de ventre, má digestão e diminuição ou aumento de peso.
Klaritril;Quais são os processos biológicos desencadeados por Klaritril?;Klaritril comprimidos de 500 mg é um antibiótico que se chama claritromicina e que pertence a um grupo de antibióticos conhecidos por macrolídeos.
